Tabla;Code;Name;Modification Date;Format;Data Type;Primary;Mandatory;Formato Logico;columnaLegacy
1872;CD_TERMINAL_OPERACION;ID terminal TPV (Codigo identificacion terminal);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(11);1872
1872;CD_GIRO;Giro comercio (Actividad del establecimiento);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_ADQUIRENTE;Dueño del cajero (Entidad adquirente operacion);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_OFICINA_CAJERO;Número Oficina donde está el cajero;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;TP_MENSAJE;Tipo de mensaje;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_OPERACION;Concepto tipo operación;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_CUENTA;Tipo de cuenta;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_CUENTA_DESTINO;Cuenta destino;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;NU_REF_EGLOBAL;Número de referencia;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(13);1872
1872;CD_RETORNO;Código de retorno (cd_Respuesta);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_RAZON_RET;Razón de retorno (va en combinación con ELOG-MCCACCIO) (cd_respuesta);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;NU_OPERACION;Folio de operación;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(9);1872
1872;FH_OPERACION;Fecha de Operación / Transacción;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;HM_HORA;Hora de Operación / Transacción;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(8);1872
1872;IM_TRANSACCION;Importe operación / transacción;25/05/17 10:46:47;;string;Falso;Falso;DECIMAL;1872
1872;CD_MONEDA;Moneda;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(3);1872
1872;IM_TRANSACCION_ORIGINAL;Importe operación original;25/05/17 10:46:47;;string;Falso;Falso;DECIMAL;1872
1872;CD_MONEDA_ORIGINAL;Moneda Original;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(3);1872
1872;IM_COMISION_TP_CAMBIO;Importe comisión cambio divisa;25/05/17 10:46:47;;string;Falso;Falso;DECIMAL;1872
1872;IM_COMISION;Importe comisión operación;25/05/17 10:46:47;;string;Falso;Falso;DECIMAL;1872
1872;FH_CONTABLE;Fecha contable o de aplicación.;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;NU_OPERACION_ORIGINAL;Número operación original;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(9);1872
1872;FH_OPERACION_ORIGINAL;Fecha operación original;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
1872;HM_HORA_OPE_ORIGINAL;Hora de operación original;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(8);1872
1872;NU_TERMINAL_ORIGEN;Número terminal origen;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;CD_BANCO_ORIGEN;Centro Origen (Codigo de entidad de origen);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;ST_OPERACION_4B;IND. TARJETA 4B(Indicador operacion );25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;ST_OPER_EXTRANJERO;IND. TARJETA EXTERNA (Indicador operacion extranjero);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_RESOLUTOR_OPERACION;Resolutor operación;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;NU_REFER_AUTRZCN;Número de autorización;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(6);1872
1872;NU_MOVIMIENTO;Número de movimiento original;25/05/17 10:46:47;;string;Falso;Falso;DECIMAL;1872
1872;CD_CANAL;Dispositivo;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(4);1872
1872;ST_CTRL_AUTORIZACION;IND. CONTROL AUTORIZACION;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;ST_OP_APROB_TJ_BAJA;IND. OP. APROB. CON TJ BAJA O BLOQ;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;ST_SITUA_AUTORIZACION;Indicador situación autorización;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;ST_RESOLUCION_FINAL;Código resolución final;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_TAJETA_PA;Indicador tarjeta propia/ajena;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;TP_INDICADOR_OPERACION;Indicador operación Autorizada / Dispuesta;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;ST_TP_DOMILICIACION;Indicador tipo domiciliación (propia/ajena);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;CD_PAIS_LETRA;Centro código país (catálogo);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;NU_REMESA;Número de remesa;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(3);1872
1872;CD_ID_ADQUIRIENTE;CODIGO IDENTIFICACION ADQUIRENTE P-32;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(11);1872
1872;NB_COMERCIO;Descripción comercio;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(30);1872
1872;HR_REGISTRO_SISTEMA;Hora de registro en sistema;25/05/17 10:46:47;;string;Falso;Falso;TIMESTAMP;1872
1872;TP_CTA_SEL_ORIGEN;Tipo de cuenta seleccionada origen;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;TP_CTA_SEL_DESTINO;Tipo de cuenta seleccionada destino;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;TP_POS_ENTRY_MODE1;Estos dos campos componen el modo de entrada de la tarjeta al dispositivo.;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_POS_ENTRY_MODE2;Estos dos campos componen el modo de entrada de la tarjeta al dispositivo.;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(2);1872
1872;TP_CAVV;Indicador libre 4 (presencia CAVV para operaciones de comercio electrónico);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;TP_LIBRE_5;Indicador libre 5 (Identificador del medio de acceso);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;TP_ECI;Indicador libre 6(ECI para operaciones de comercio electrónico);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;TP_CVV2;Indicador libre 7(presencia CVV2 para operaciones de comercio electrónico);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;TP_RESPUESTA_CVV2;Indicador libre 8(respuesta validación CVV2 para operaciones de comercio electrónico);25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;ST_EMV_TERM_CAPABILITY;EMV terminal capability;25/05/17 10:46:47;;string;Falso;Falso;VARCHAR(1);1872
1872;IM_SALDO;Saldo crédito (Disponible de la cuenta / saldo crédito);25/05/17 10:46:47;;string;Falso;Falso;DECIMAL;1872
1872;IM_LIMITE;Limite de credito;25/05/17 10:46:47;;string;Falso;Falso;DECIMAL;1872
1872;FH_ALTA_TARJETA;Fecha alta tarjeta;25/05/17 10:46:47;dd/mm/yyyy;string;Falso;Falso;DATE;1872
